Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,,epi_date_start,epi_date_end,epi_week,New_cases_epiweek
1/4/2021,SG,Singapore,WPRO,24,58721,0,29,,1/4/2021,1/10/2021,1,210
1/5/2021,SG,Singapore,WPRO,28,58749,0,29,,1/11/2021,1/17/2021,2,206
1/6/2021,SG,Singapore,WPRO,31,58780,0,29,,1/18/2021,1/24/2021,3,195
1/7/2021,SG,Singapore,WPRO,33,58813,0,29,,1/25/2021,1/31/2021,4,228
1/8/2021,SG,Singapore,WPRO,23,58836,0,29,,2/1/2021,2/7/2021,5,163
1/9/2021,SG,Singapore,WPRO,29,58865,0,29,,2/8/2021,2/14/2021,6,101
1/10/2021,SG,Singapore,WPRO,42,58907,0,29,,2/15/2021,2/21/2021,7,69
1/11/2021,SG,Singapore,WPRO,22,58929,0,29,,2/22/2021,2/28/2021,8,67
1/12/2021,SG,Singapore,WPRO,17,58946,0,29,,3/1/2021,3/7/2021,9,97
1/13/2021,SG,Singapore,WPRO,38,58984,0,29,,3/8/2021,3/14/2021,10,72
1/14/2021,SG,Singapore,WPRO,45,59029,0,29,,3/15/2021,3/21/2021,11,91
1/15/2021,SG,Singapore,WPRO,30,59059,0,29,,3/22/2021,3/28/2021,12,104
1/16/2021,SG,Singapore,WPRO,24,59083,0,29,,3/29/2021,4/4/2021,13,178
1/17/2021,SG,Singapore,WPRO,30,59113,0,29,,4/5/2021,4/11/2021,14,175
1/18/2021,SG,Singapore,WPRO,14,59127,0,29,,4/12/2021,4/18/2021,15,178
1/19/2021,SG,Singapore,WPRO,30,59157,0,29,,4/19/2021,4/25/2021,16,175
1/20/2021,SG,Singapore,WPRO,40,59197,0,29,,4/26/2021,5/2/2021,17,212
1/21/2021,SG,Singapore,WPRO,38,59235,0,29,,5/3/2021,5/9/2021,18,141
1/22/2021,SG,Singapore,WPRO,15,59250,0,29,,5/10/2021,5/16/2021,19,226
1/23/2021,SG,Singapore,WPRO,10,59260,0,29,,5/17/2021,5/23/2021,20,239
1/24/2021,SG,Singapore,WPRO,48,59308,0,29,,5/24/2021,5/30/2021,21,204
1/25/2021,SG,Singapore,WPRO,44,59352,0,29,,5/31/2021,6/6/2021,22,168
1/26/2021,SG,Singapore,WPRO,14,59366,0,29,,6/7/2021,6/13/2021,23,80
1/27/2021,SG,Singapore,WPRO,25,59391,0,29,,6/14/2021,6/20/2021,24,138
1/28/2021,SG,Singapore,WPRO,34,59425,0,29,,6/21/2021,6/27/2021,25,130
1/29/2021,SG,Singapore,WPRO,24,59449,0,29,,6/28/2021,7/4/2021,26,73
1/30/2021,SG,Singapore,WPRO,58,59507,0,29,,7/5/2021,7/11/2021,27,75
1/31/2021,SG,Singapore,WPRO,29,59536,0,29,,7/12/2021,7/18/2021,28,381
2/1/2021,SG,Singapore,WPRO,29,59565,0,29,,7/19/2021,7/25/2021,29,1106
2/2/2021,SG,Singapore,WPRO,19,59584,0,29,,7/26/2021,8/1/2021,30,923
2/3/2021,SG,Singapore,WPRO,18,59602,0,29,,8/2/2021,8/8/2021,31,662
2/4/2021,SG,Singapore,WPRO,22,59624,-29,0,,8/9/2021,8/15/2021,32,408
